Date,Open,High,Low,Close,Adj Close,Volume
2020-03-27,30747.810547,31126.029297,29346.990234,29815.589844,29815.589844,116900
2020-03-30,29226.550781,29497.570313,28290.990234,28440.320313,28440.320313,23200
2020-03-31,29294.939453,29770.880859,28667.359375,29468.490234,29468.490234,26400
2020-04-01,29505.330078,29505.980469,28073.429688,28265.310547,28265.310547,18000
2020-04-03,28623.529297,28639.119141,27500.789063,27590.949219,27590.949219,18900
2020-04-07,28898.359375,30157.650391,28602.310547,30067.210938,30067.210938,21900
2020-04-08,29701.919922,31227.970703,29602.939453,29893.960938,29893.960938,24700
2020-04-09,30571.189453,31225.199219,30420.220703,31159.619141,31159.619141,18800
2020-04-13,31195.720703,31195.720703,30474.150391,30690.019531,30690.019531,16100
2020-04-15,31277.109375,31568.359375,30222.070313,30379.810547,30379.810547,23600
2020-04-16,30095.509766,30800.199219,30016.169922,30602.609375,30602.609375,16900
2020-04-17,31656.679688,31718.730469,30960.939453,31588.720703,31588.720703,22200
2020-04-20,32056.189453,32056.470703,31490.259766,31648.000000,31648.000000,17200
2020-04-21,30836.189453,30900.119141,30378.259766,30636.710938,30636.710938,19700
2020-04-22,30856.140625,31471.140625,30578.550781,31379.550781,31379.550781,21000
2020-04-23,31646.449219,31959.019531,31292.919922,31863.080078,31863.080078,24400
2020-04-24,31426.619141,31842.240234,31278.269531,31327.220703,31327.220703,17600
2020-04-27,31659.039063,32103.699219,31651.580078,31743.080078,31743.080078,12900
2020-04-28,32101.910156,32199.910156,31661.339844,32114.519531,32114.519531,15600
2020-04-29,32311.039063,32897.589844,32171.650391,32720.160156,32720.160156,16000
2020-04-30,33381.191406,33887.250000,33354.929688,33717.621094,33717.621094,21100
2020-05-04,32748.140625,32748.140625,31632.019531,31715.349609,31715.349609,18300
2020-05-05,32182.900391,32264.000000,31403.570313,31453.509766,31453.509766,19200
2020-05-06,31577.630859,31970.839844,31158.750000,31685.750000,31685.750000,19200
2020-05-07,31677.689453,31705.250000,31362.869141,31443.380859,31443.380859,19900
2020-05-08,32083.320313,32088.509766,31598.000000,31642.699219,31642.699219,15900
2020-05-11,32030.339844,32301.580078,31500.869141,31561.220703,31561.220703,18100
2020-05-12,31342.929688,31536.890625,30844.660156,31371.119141,31371.119141,23100
2020-05-13,32841.871094,32845.480469,31901.919922,32008.609375,32008.609375,18400
2020-05-14,31466.330078,31630.939453,31052.650391,31122.890625,31122.890625,15200
2020-05-15,31296.279297,31296.279297,30770.480469,31097.730469,31097.730469,13000
2020-05-18,31248.259766,31248.259766,29968.449219,30028.980469,30028.980469,19500
2020-05-19,30450.740234,30739.960938,30116.820313,30196.169922,30196.169922,18700
2020-05-20,30159.589844,30878.310547,30157.750000,30818.609375,30818.609375,16100
2020-05-21,30904.289063,31188.789063,30765.320313,30932.900391,30932.900391,15500
2020-05-22,30822.779297,31107.910156,30474.880859,30672.589844,30672.589844,20600
2020-05-26,30864.269531,31086.699219,30512.140625,30609.300781,30609.300781,188300
2020-05-27,30793.109375,31660.599609,30525.679688,31605.220703,31605.220703,20500
2020-05-28,31827.800781,32267.230469,31641.769531,32200.589844,32200.589844,27500
2020-05-29,32041.289063,32480.519531,31823.800781,32424.099609,32424.099609,37100
2020-06-01,32906.050781,33673.828125,32876.550781,33303.519531,33303.519531,22900
2020-06-02,33450.191406,33866.628906,33301.289063,33825.531250,33825.531250,75600
2020-06-03,34185.410156,34488.691406,34027.500000,34109.539063,34109.539063,18400
2020-06-04,34072.500000,34310.140625,33711.238281,33980.699219,33980.699219,17900
2020-06-05,34198.550781,34405.429688,33958.019531,34287.238281,34287.238281,24600
2020-06-08,34841.171875,34927.800781,34211.828125,34370.578125,34370.578125,25700
2020-06-09,34520.789063,34811.289063,33881.191406,33956.691406,33956.691406,19200
2020-06-10,34029.140625,34350.171875,33949.460938,34247.050781,34247.050781,15500
2020-06-11,34214.691406,34219.390625,33480.421875,33538.371094,33538.371094,20900
2020-06-12,32436.689453,33856.269531,32348.099609,33780.890625,33780.890625,23000
2020-06-15,33670.550781,33670.550781,32923.738281,33228.800781,33228.800781,18400
2020-06-16,33853.718750,34022.011719,32953.300781,33605.218750,33605.218750,27400
2020-06-17,33438.308594,33933.660156,33332.960938,33507.921875,33507.921875,20200
2020-06-18,33371.519531,34276.011719,33371.519531,34208.050781,34208.050781,21200
2020-06-19,34335.378906,34848.371094,34136.390625,34731.730469,34731.730469,27900
2020-06-22,34892.031250,35213.519531,34794.398438,34911.320313,34911.320313,25100
2020-06-23,35015.730469,35482.160156,34843.691406,35430.429688,35430.429688,25200
2020-06-24,35679.738281,35706.550781,34794.929688,34868.980469,34868.980469,26600
2020-06-25,34525.390625,35081.609375,34499.781250,34842.101563,34842.101563,24600
2020-06-26,35144.781250,35254.878906,34910.339844,35171.269531,35171.269531,24800
2020-06-29,34926.949219,35032.359375,34662.058594,34961.519531,34961.519531,18300
2020-06-30,35168.300781,35233.910156,34812.800781,34915.800781,34915.800781,18500
2020-07-01,35009.589844,35467.230469,34927.199219,35414.449219,35414.449219,19400
2020-07-02,35604.000000,36014.921875,35595.359375,35843.699219,35843.699219,20600
2020-07-03,36025.378906,36110.210938,35872.378906,36021.421875,36021.421875,16500
2020-07-06,36313.460938,36661.660156,36254.019531,36487.281250,36487.281250,22300
2020-07-07,36660.351563,36723.269531,36271.089844,36674.519531,36674.519531,20600
2020-07-08,36738.378906,36828.429688,36234.171875,36329.011719,36329.011719,24800
2020-07-09,36450.691406,36806.300781,36422.300781,36737.691406,36737.691406,17400
2020-07-10,36555.128906,36748.890625,36401.109375,36594.328125,36594.328125,20900
2020-07-13,36880.660156,37024.199219,36533.960938,36693.691406,36693.691406,16500
2020-07-14,36517.281250,36538.101563,35877.421875,36033.058594,36033.058594,14100
2020-07-15,36314.761719,36810.250000,35894.960938,36051.808594,36051.808594,23500
